#canal	cuentas
1	6166
2	8108
3	10047
4	12511
5	22764
6	318247
7	337625
8	23440
9	3088
10	1749
11	1575
12	1614
13	1498
14	1443
15	1387
16	1389
17	1379
18	1379
19	1290
20	1251
21	1213
22	1153
23	1193
24	1179
25	1120
26	1166
27	1076
28	1039
29	1078
30	1081
31	1062
32	974
33	1015
34	1039
35	1031
36	956
37	986
38	951
39	987
40	951
41	947
42	909
43	976
44	1089
45	1034
46	1160
47	1112
48	1073
49	1079
50	1199
51	1130
52	1207
53	1237
54	1185
55	1279
56	1254
57	1285
58	1249
59	1188
60	1114
61	1141
62	1179
63	1099
64	1086
65	1049
66	1108
67	1043
68	1051
69	1034
70	992
71	914
72	949
73	977
74	903
75	947
76	902
77	882
78	888
79	914
80	860
81	812
82	853
83	854
84	841
85	868
86	809
87	802
88	840
89	798
90	801
91	814
92	823
93	845
94	777
95	784
96	779
97	816
98	765
99	784
100	831
101	932
102	1015
103	1122
104	995
105	851
106	739
107	744
108	746
109	727
110	695
111	738
112	708
113	708
114	810
115	825
116	832
117	769
118	793
119	747
120	726
121	693
122	710
123	721
124	678
125	707
126	690
127	667
128	737
129	679
130	737
131	720
132	731
133	707
134	716
135	741
136	723
137	727
138	721
139	690
140	698
141	713
142	675
143	674
144	686
145	690
146	736
147	704
148	676
149	718
150	713
151	718
152	701
153	661
154	688
155	678
156	648
157	661
158	690
159	670
160	698
161	678
162	654
163	645
164	687
165	660
166	657
167	669
168	682
169	713
170	685
171	644
172	666
173	714
174	670
175	722
176	661
177	608
178	676
179	704
180	681
181	663
182	721
183	703
184	674
185	629
186	637
187	693
188	709
189	671
190	708
191	680
192	730
193	660
194	663
195	733
196	692
197	737
198	764
199	755
200	692
201	691
202	675
203	704
204	673
205	641
206	701
207	682
208	651
209	692
210	718
211	672
212	663
213	731
214	675
215	684
216	704
217	639
218	607
219	696
220	679
221	660
222	658
223	660
224	680
225	698
226	714
227	694
228	685
229	702
230	688
231	670
232	660
233	708
234	647
235	672
236	650
237	656
238	670
239	708
240	621
241	661
242	674
243	725
244	655
245	700
246	669
247	713
248	674
249	660
250	690
251	687
252	648
253	731
254	740
255	660
256	715
257	668
258	680
259	707
260	703
261	708
262	694
263	671
264	711
265	660
266	706
267	763
268	768
269	787
270	698
271	715
272	689
273	699
274	696
275	752
276	711
277	690
278	717
279	741
280	723
281	715
282	724
283	710
284	736
285	727
286	702
287	720
288	695
289	705
290	744
291	749
292	754
293	745
294	733
295	778
296	779
297	759
298	722
299	751
300	747
301	765
302	794
303	717
304	736
305	714
306	730
307	792
308	811
309	769
310	824
311	795
312	780
313	724
314	776
315	792
316	912
317	888
318	932
319	800
320	815
321	767
322	809
323	762
324	852
325	856
326	873
327	881
328	890
329	835
330	830
331	797
332	857
333	808
334	831
335	852
336	883
337	820
338	825
339	857
340	836
341	852
342	895
343	907
344	880
345	911
346	793
347	819
348	803
349	867
350	890
351	868
352	880
353	818
354	935
355	897
356	861
357	907
358	883
359	885
360	877
361	873
362	874
363	842
364	862
365	928
366	899
367	920
368	904
369	936
370	904
371	963
372	935
373	935
374	828
375	951
376	916
377	892
378	990
379	955
380	958
381	918
