#energia_keV	cuentas	canal
-11.2507	6166	1
-10.9633	8108	2
-10.6759	10047	3
-10.3885	12511	4
-10.1010	22764	5
-9.8136	318247	6
-9.5262	337625	7
-9.2387	23440	8
-8.9513	3088	9
-8.6639	1749	10
-8.3764	1575	11
-8.0890	1614	12
-7.8016	1498	13
-7.5142	1443	14
-7.2267	1387	15
-6.9393	1389	16
-6.6519	1379	17
-6.3644	1379	18
-6.0770	1290	19
-5.7896	1251	20
-5.5021	1213	21
-5.2147	1153	22
-4.9273	1193	23
-4.6399	1179	24
-4.3524	1120	25
-4.0650	1166	26
-3.7776	1076	27
-3.4901	1039	28
-3.2027	1078	29
-2.9153	1081	30
-2.6279	1062	31
-2.3404	974	32
-2.0530	1015	33
-1.7656	1039	34
-1.4781	1031	35
-1.1907	956	36
-0.9033	986	37
-0.6158	951	38
-0.3284	987	39
-0.0410	951	40
0.2464	947	41
0.5339	909	42
0.8213	976	43
1.1087	1089	44
1.3962	1034	45
1.6836	1160	46
1.9710	1112	47
2.2585	1073	48
2.5459	1079	49
2.8333	1199	50
3.1207	1130	51
3.4082	1207	52
3.6956	1237	53
3.9830	1185	54
4.2705	1279	55
4.5579	1254	56
4.8453	1285	57
5.1328	1249	58
5.4202	1188	59
5.7076	1114	60
5.9950	1141	61
6.2825	1179	62
6.5699	1099	63
6.8573	1086	64
7.1448	1049	65
7.4322	1108	66
7.7196	1043	67
8.0070	1051	68
8.2945	1034	69
8.5819	992	70
8.8693	914	71
9.1568	949	72
9.4442	977	73
9.7316	903	74
10.0191	947	75
10.3065	902	76
10.5939	882	77
10.8813	888	78
11.1688	914	79
11.4562	860	80
11.7436	812	81
12.0311	853	82
12.3185	854	83
12.6059	841	84
12.8934	868	85
13.1808	809	86
13.4682	802	87
13.7556	840	88
14.0431	798	89
14.3305	801	90
14.6179	814	91
14.9054	823	92
15.1928	845	93
15.4802	777	94
15.7677	784	95
16.0551	779	96
16.3425	816	97
16.6299	765	98
16.9174	784	99
17.2048	831	100
17.4922	932	101
17.7797	1015	102
18.0671	1122	103
18.3545	995	104
18.6419	851	105
18.9294	739	106
19.2168	744	107
19.5042	746	108
19.7917	727	109
20.0791	695	110
20.3665	738	111
20.6540	708	112
20.9414	708	113
21.2288	810	114
21.5162	825	115
21.8037	832	116
22.0911	769	117
22.3785	793	118
22.6660	747	119
22.9534	726	120
23.2408	693	121
23.5283	710	122
23.8157	721	123
24.1031	678	124
24.3905	707	125
24.6780	690	126
24.9654	667	127
25.2528	737	128
25.5403	679	129
25.8277	737	130
26.1151	720	131
26.4026	731	132
26.6900	707	133
26.9774	716	134
27.2648	741	135
27.5523	723	136
27.8397	727	137
28.1271	721	138
28.4146	690	139
28.7020	698	140
28.9894	713	141
29.2768	675	142
29.5643	674	143
29.8517	686	144
30.1391	690	145
30.4266	736	146
30.7140	704	147
31.0014	676	148
31.2889	718	149
31.5763	713	150
31.8637	718	151
32.1511	701	152
32.4386	661	153
32.7260	688	154
33.0134	678	155
33.3009	648	156
33.5883	661	157
33.8757	690	158
34.1632	670	159
34.4506	698	160
34.7380	678	161
35.0254	654	162
35.3129	645	163
35.6003	687	164
35.8877	660	165
36.1752	657	166
36.4626	669	167
36.7500	682	168
37.0374	713	169
37.3249	685	170
37.6123	644	171
37.8997	666	172
38.1872	714	173
38.4746	670	174
38.7620	722	175
39.0495	661	176
39.3369	608	177
39.6243	676	178
39.9117	704	179
40.1992	681	180
40.4866	663	181
40.7740	721	182
41.0615	703	183
41.3489	674	184
41.6363	629	185
41.9238	637	186
42.2112	693	187
42.4986	709	188
42.7860	671	189
43.0735	708	190
43.3609	680	191
43.6483	730	192
43.9358	660	193
44.2232	663	194
44.5106	733	195
44.7981	692	196
45.0855	737	197
45.3729	764	198
45.6603	755	199
45.9478	692	200
46.2352	691	201
46.5226	675	202
46.8101	704	203
47.0975	673	204
47.3849	641	205
47.6723	701	206
47.9598	682	207
48.2472	651	208
48.5346	692	209
48.8221	718	210
49.1095	672	211
49.3969	663	212
49.6844	731	213
49.9718	675	214
50.2592	684	215
50.5466	704	216
50.8341	639	217
51.1215	607	218
51.4089	696	219
51.6964	679	220
51.9838	660	221
52.2712	658	222
52.5587	660	223
52.8461	680	224
53.1335	698	225
53.4209	714	226
53.7084	694	227
53.9958	685	228
54.2832	702	229
54.5707	688	230
54.8581	670	231
55.1455	660	232
55.4330	708	233
55.7204	647	234
56.0078	672	235
56.2952	650	236
56.5827	656	237
56.8701	670	238
57.1575	708	239
57.4450	621	240
57.7324	661	241
58.0198	674	242
58.3072	725	243
58.5947	655	244
58.8821	700	245
59.1695	669	246
59.4570	713	247
59.7444	674	248
60.0318	660	249
60.3193	690	250
60.6067	687	251
60.8941	648	252
61.1815	731	253
61.4690	740	254
61.7564	660	255
62.0438	715	256
62.3313	668	257
62.6187	680	258
62.9061	707	259
63.1936	703	260
63.4810	708	261
63.7684	694	262
64.0558	671	263
64.3433	711	264
64.6307	660	265
64.9181	706	266
65.2056	763	267
65.4930	768	268
65.7804	787	269
66.0679	698	270
66.3553	715	271
66.6427	689	272
66.9301	699	273
67.2176	696	274
67.5050	752	275
67.7924	711	276
68.0799	690	277
68.3673	717	278
68.6547	741	279
68.9421	723	280
69.2296	715	281
69.5170	724	282
69.8044	710	283
70.0919	736	284
70.3793	727	285
70.6667	702	286
70.9542	720	287
71.2416	695	288
71.5290	705	289
71.8164	744	290
72.1039	749	291
72.3913	754	292
72.6787	745	293
72.9662	733	294
73.2536	778	295
73.5410	779	296
73.8285	759	297
74.1159	722	298
74.4033	751	299
74.6907	747	300
74.9782	765	301
75.2656	794	302
75.5530	717	303
75.8405	736	304
76.1279	714	305
76.4153	730	306
76.7027	792	307
76.9902	811	308
77.2776	769	309
77.5650	824	310
77.8525	795	311
78.1399	780	312
78.4273	724	313
78.7148	776	314
79.0022	792	315
79.2896	912	316
79.5770	888	317
79.8645	932	318
80.1519	800	319
80.4393	815	320
80.7268	767	321
81.0142	809	322
81.3016	762	323
81.5891	852	324
81.8765	856	325
82.1639	873	326
82.4513	881	327
82.7388	890	328
83.0262	835	329
83.3136	830	330
83.6011	797	331
83.8885	857	332
84.1759	808	333
84.4634	831	334
84.7508	852	335
85.0382	883	336
85.3256	820	337
85.6131	825	338
85.9005	857	339
86.1879	836	340
86.4754	852	341
86.7628	895	342
87.0502	907	343
87.3376	880	344
87.6251	911	345
87.9125	793	346
88.1999	819	347
88.4874	803	348
88.7748	867	349
89.0622	890	350
89.3497	868	351
89.6371	880	352
89.9245	818	353
90.2119	935	354
90.4994	897	355
90.7868	861	356
91.0742	907	357
91.3617	883	358
91.6491	885	359
91.9365	877	360
92.2240	873	361
92.5114	874	362
92.7988	842	363
93.0862	862	364
93.3737	928	365
93.6611	899	366
93.9485	920	367
94.2360	904	368
94.5234	936	369
94.8108	904	370
95.0983	963	371
95.3857	935	372
95.6731	935	373
95.9605	828	374
96.2480	951	375
96.5354	916	376
96.8228	892	377
97.1103	990	378
97.3977	955	379
97.6851	958	380
97.9725	918	381
98.2600	966	382
98.5474	990	383
98.8348	931	384
99.1223	942	385
99.4097	892	386
99.6971	953	387
99.9846	918	388
100.2720	989	389
100.5594	1038	390
100.8468	1068	391
101.1343	1064	392
101.4217	1103	393
101.7091	1075	394
101.9966	1044	395
102.2840	996	396
102.5714	1060	397
102.8589	950	398
103.1463	973	399
103.4337	971	400
103.7211	999	401
104.0086	1016	402
104.2960	1078	403
104.5834	1057	404
104.8709	941	405
105.1583	987	406
105.4457	995	407
105.7332	890	408
106.0206	1009	409
106.3080	1005	410
106.5954	1024	411
106.8829	1073	412
107.1703	1020	413
107.4577	990	414
107.7452	989	415
108.0326	1016	416
108.3200	1066	417
108.6074	1004	418
108.8949	1054	419
109.1823	1061	420
109.4697	1005	421
109.7572	1086	422
110.0446	1065	423
110.3320	1050	424
110.6195	1104	425
110.9069	1041	426
111.1943	1046	427
111.4817	1030	428
111.7692	1086	429
112.0566	1102	430
112.3440	1126	431
112.6315	1094	432
112.9189	1120	433
113.2063	1063	434
113.4938	1085	435
113.7812	1004	436
114.0686	1072	437
114.3560	1107	438
114.6435	1100	439
114.9309	1163	440
115.2183	1117	441
115.5058	1166	442
115.7932	1099	443
116.0806	1074	444
116.3680	1098	445
116.6555	1143	446
116.9429	1127	447
117.2303	1139	448
117.5178	1147	449
117.8052	1140	450
118.0926	1219	451
118.3801	1161	452
118.6675	1109	453
118.9549	1161	454
119.2423	1103	455
119.5298	1123	456
119.8172	1131	457
120.1046	1101	458
120.3921	1179	459
120.6795	1157	460
120.9669	1154	461
121.2544	1099	462
121.5418	1207	463
121.8292	1102	464
122.1166	1137	465
122.4041	1149	466
122.6915	1131	467
122.9789	1146	468
123.2664	1202	469
123.5538	1225	470
123.8412	1173	471
124.1287	1112	472
124.4161	1177	473
124.7035	1177	474
124.9909	1169	475
125.2784	1123	476
125.5658	1098	477
125.8532	1220	478
126.1407	1207	479
126.4281	1211	480
126.7155	1177	481
127.0029	1213	482
127.2904	1221	483
127.5778	1130	484
127.8652	1187	485
128.1527	1176	486
128.4401	1184	487
128.7275	1241	488
129.0150	1199	489
129.3024	1198	490
129.5898	1228	491
129.8772	1239	492
130.1647	1194	493
130.4521	1183	494
130.7395	1202	495
131.0270	1205	496
131.3144	1158	497
131.6018	1253	498
131.8893	1213	499
132.1767	1189	500
132.4641	1194	501
132.7515	1154	502
133.0390	1241	503
133.3264	1233	504
133.6138	1191	505
133.9013	1220	506
134.1887	1209	507
134.4761	1246	508
134.7636	1186	509
135.0510	1280	510
135.3384	1270	511
135.6258	1198	512
135.9133	1265	513
136.2007	1260	514
136.4881	1184	515
136.7756	1265	516
137.0630	1245	517
137.3504	1193	518
137.6378	1201	519
137.9253	1229	520
138.2127	1224	521
138.5001	1159	522
138.7876	1217	523
139.0750	1226	524
139.3624	1233	525
139.6499	1239	526
139.9373	1196	527
140.2247	1190	528
140.5121	1286	529
140.7996	1281	530
141.0870	1258	531
141.3744	1233	532
141.6619	1208	533
141.9493	1301	534
142.2367	1240	535
142.5242	1226	536
142.8116	1222	537
143.0990	1197	538
143.3864	1273	539
143.6739	1251	540
143.9613	1229	541
144.2487	1254	542
144.5362	1243	543
144.8236	1181	544
145.1110	1234	545
145.3984	1265	546
145.6859	1165	547
145.9733	1334	548
146.2607	1202	549
146.5482	1293	550
146.8356	1144	551
147.1230	1305	552
147.4105	1210	553
147.6979	1209	554
147.9853	1162	555
148.2727	1239	556
148.5602	1251	557
148.8476	1226	558
