#ch_global y_total y_bg y_gaussian
140.0000 3444.656018 3444.656018 0.000000
140.2764 3439.893831 3439.893831 0.000000
140.5528 3435.131645 3435.131645 0.000000
140.8291 3430.369458 3430.369458 0.000000
141.1055 3425.607272 3425.607272 0.000000
141.3819 3420.845085 3420.845085 0.000000
141.6583 3416.082898 3416.082898 0.000000
141.9347 3411.320712 3411.320712 0.000000
142.2111 3406.558525 3406.558525 0.000000
142.4874 3401.796339 3401.796339 0.000000
142.7638 3397.034152 3397.034152 0.000000
143.0402 3392.271965 3392.271965 0.000000
143.3166 3387.509779 3387.509779 0.000000
143.5930 3382.747592 3382.747592 0.000000
143.8693 3377.985405 3377.985405 0.000000
144.1457 3373.223219 3373.223219 0.000000
144.4221 3368.461032 3368.461032 0.000000
144.6985 3363.698846 3363.698846 0.000000
144.9749 3358.936659 3358.936659 0.000000
145.2513 3354.174472 3354.174472 0.000000
145.5276 3349.412286 3349.412286 0.000000
145.8040 3344.650099 3344.650099 0.000000
146.0804 3339.887913 3339.887913 0.000000
146.3568 3335.125726 3335.125726 0.000000
146.6332 3330.363539 3330.363539 0.000000
146.9095 3325.601353 3325.601353 0.000000
147.1859 3320.839166 3320.839166 0.000000
147.4623 3316.076980 3316.076980 0.000000
147.7387 3311.314794 3311.314793 0.000001
148.0151 3306.552608 3306.552606 0.000002
148.2915 3301.790423 3301.790420 0.000003
148.5678 3297.028239 3297.028233 0.000005
148.8442 3292.266056 3292.266047 0.000010
149.1206 3287.503877 3287.503860 0.000017
149.3970 3282.741704 3282.741673 0.000030
149.6734 3277.979540 3277.979487 0.000053
149.9497 3273.217391 3273.217300 0.000091
150.2261 3268.455269 3268.455114 0.000156
150.5025 3263.693190 3263.692927 0.000263
150.7789 3258.931182 3258.930740 0.000441
151.0553 3254.169286 3254.168554 0.000732
151.3317 3249.407570 3249.406367 0.001203
151.6080 3244.646139 3244.644180 0.001958
151.8844 3239.885151 3239.881994 0.003157
152.1608 3235.124849 3235.119807 0.005042
152.4372 3230.365595 3230.357621 0.007975
152.7136 3225.607929 3225.595434 0.012495
152.9899 3220.852638 3220.833247 0.019390
153.2663 3216.100867 3216.071061 0.029806
153.5427 3211.354255 3211.308874 0.045381
153.8191 3206.615126 3206.546688 0.068439
154.0955 3201.886733 3201.784501 0.102232
154.3719 3197.173576 3197.022314 0.151262
154.6482 3192.481808 3192.260128 0.221680
154.9246 3187.819737 3187.497941 0.321796
155.2010 3183.198445 3182.735755 0.462690
155.4774 3178.632524 3177.973568 0.658956
155.7538 3174.140945 3173.211381 0.929563
156.0302 3169.748041 3168.449195 1.298846
156.3065 3165.484607 3163.687008 1.797599
156.5829 3161.389068 3158.924822 2.464246
156.8593 3157.508679 3154.162635 3.346044
157.1357 3153.900687 3149.400448 4.500239
157.4121 3150.633351 3144.638262 5.995089
157.6884 3147.786723 3139.876075 7.910648
157.9648 3145.453036 3135.113888 10.339147
158.2412 3143.736557 3130.351702 13.384855
158.5176 3142.752739 3125.589515 17.163224
158.7940 3142.626518 3120.827329 21.799189
159.0704 3143.489602 3116.065142 27.424460
159.3467 3145.476663 3111.302955 34.173708
159.6231 3148.720362 3106.540769 42.179593
159.8995 3153.345234 3101.778582 51.566652
160.1759 3159.460546 3097.016396 62.444150
160.4523 3167.152317 3092.254209 74.898108
160.7286 3176.474852 3087.492022 88.982829
161.0050 3187.442170 3082.729836 104.712334
161.2814 3200.019885 3077.967649 122.052236
161.5578 3214.118089 3073.205463 140.912626
161.8342 3229.585869 3068.443276 161.142593
162.1106 3246.208064 3063.681089 182.526975
162.3869 3263.704795 3058.918903 204.785892
162.6633 3281.734195 3054.156716 227.577478
162.9397 3299.898606 3049.394530 250.504076
163.2161 3317.754280 3044.632343 273.121937
163.4925 3334.824393 3039.870156 294.954237
163.7688 3350.614944 3035.107970 315.506974
164.0452 3364.632837 3030.345783 334.287054
164.3216 3376.405274 3025.583596 350.821678
164.5980 3385.499401 3020.821410 364.677992
164.8744 3391.541080 3016.059223 375.481857
165.1508 3394.231654 3011.297037 382.934618
165.4271 3393.361663 3006.534850 386.826813
165.7035 3388.820622 3001.772663 387.047958
165.9799 3380.602230 2997.010477 383.591753
166.2563 3368.804671 2992.248290 376.556381
166.5327 3353.625980 2987.486104 366.139876
166.8090 3335.354779 2982.723917 352.630862
167.0854 3314.356997 2977.961730 336.395267
167.3618 3291.059416 2973.199544 317.859872
167.6382 3265.931076 2968.437357 297.493719
167.9146 3239.463680 2963.675171 275.788509
168.1910 3212.152108 2958.912984 253.239124
168.4673 3184.476131 2954.150797 230.325333
168.7437 3156.884207 2949.388611 207.495596
169.0201 3129.780095 2944.626424 185.153671
169.2965 3103.512742 2939.864238 163.648504
169.5729 3078.369663 2935.102051 143.267612
169.8492 3054.573809 2930.339864 124.233945
170.1256 3032.283667 2925.577678 106.705990
170.4020 3011.596204 2920.815491 90.780713
170.6784 2992.552109 2916.053305 76.498805
170.9548 2975.142747 2911.291118 63.851629
171.2312 2959.318192 2906.528931 52.789261
171.5075 2944.995770 2901.766745 43.229026
171.7839 2932.068569 2897.004558 35.064010
172.0603 2920.413484 2892.242371 28.171112
172.3367 2909.898485 2887.480185 22.418300
172.6131 2900.388856 2882.717998 17.670857
172.8894 2891.752309 2877.955812 13.796497
173.1658 2883.862935 2873.193625 10.669310
173.4422 2876.604035 2868.431438 8.172597
173.7186 2869.869943 2863.669252 6.200691
173.9950 2863.566963 2858.907065 4.659898
174.2714 2857.613596 2854.144879 3.468718
174.5477 2851.940205 2849.382692 2.557513
174.8241 2846.488273 2844.620505 1.867768
175.1005 2841.209409 2839.858319 1.351090
175.3769 2836.064191 2835.096132 0.968059
175.6533 2831.020976 2830.333946 0.687030
175.9296 2826.054713 2825.571759 0.482954
176.2060 2821.145846 2820.809572 0.336273
176.4824 2816.279304 2816.047386 0.231918
176.7588 2811.443628 2811.285199 0.158429
177.0352 2806.630211 2806.523013 0.107199
177.3116 2801.832672 2801.760826 0.071846
177.5879 2797.046334 2796.998639 0.047695
177.8643 2792.267814 2792.236453 0.031361
178.1407 2787.494692 2787.474266 0.020426
178.4171 2782.725256 2782.712079 0.013177
178.6935 2777.958313 2777.949893 0.008420
178.9698 2773.193035 2773.187706 0.005329
179.2462 2768.428861 2768.425520 0.003341
179.5226 2763.665408 2763.663333 0.002075
179.7990 2758.902422 2758.901146 0.001276
180.0754 2754.139737 2754.138960 0.000777
180.3518 2749.377242 2749.376773 0.000469
180.6281 2744.614867 2744.614587 0.000280
180.9045 2739.852566 2739.852400 0.000166
181.1809 2735.090311 2735.090213 0.000097
181.4573 2730.328083 2730.328027 0.000057
181.7337 2725.565873 2725.565840 0.000033
182.0101 2720.803672 2720.803654 0.000019
182.2864 2716.041477 2716.041467 0.000010
182.5628 2711.279286 2711.279280 0.000006
182.8392 2706.517097 2706.517094 0.000003
183.1156 2701.754909 2701.754907 0.000002
183.3920 2696.992722 2696.992721 0.000001
183.6683 2692.230534 2692.230534 0.000001
183.9447 2687.468348 2687.468347 0.000000
184.2211 2682.706161 2682.706161 0.000000
184.4975 2677.943974 2677.943974 0.000000
184.7739 2673.181788 2673.181787 0.000000
