#ch_global y_total y_bg y_gaussian
430.0000 363.326292 362.945605 0.380687
430.3618 362.533991 362.088865 0.445126
430.7236 361.751819 361.232126 0.519694
431.0854 360.981231 360.375386 0.605845
431.4472 360.223867 359.518647 0.705220
431.8090 359.481574 358.661907 0.819667
432.1709 358.756428 357.805168 0.951261
432.5327 358.050757 356.948428 1.102329
432.8945 357.367165 356.091688 1.275477
433.2563 356.708561 355.234949 1.473613
433.6181 356.078188 354.378209 1.699979
433.9799 355.479652 353.521470 1.958183
434.3417 354.916958 352.664730 2.252228
434.7035 354.394541 351.807990 2.586550
435.0653 353.917305 350.951251 2.966054
435.4271 353.490659 350.094511 3.396148
435.7889 353.120559 349.237772 3.882787
436.1508 352.813546 348.381032 4.432514
436.5126 352.576790 347.524293 5.052498
436.8744 352.418132 346.667553 5.750579
437.2362 352.346128 345.810813 6.535315
437.5980 352.370094 344.954074 7.416021
437.9598 352.500150 344.097334 8.402815
438.3216 352.747260 343.240595 9.506665
438.6834 353.123280 342.383855 10.739425
439.0452 353.640998 341.527116 12.113882
439.4070 354.314169 340.670376 13.643793
439.7688 355.157559 339.813636 15.343923
440.1307 356.186971 338.956897 17.230074
440.4925 357.419278 338.100157 19.319121
440.8543 358.872448 337.243418 21.629031
441.2161 360.565561 336.386678 24.178883
441.5779 362.518819 335.529939 26.988881
441.9397 364.753557 334.673199 30.080358
442.3015 367.292231 333.816459 33.475771
442.6633 370.158412 332.959720 37.198692
443.0251 373.376757 332.102980 41.273777
443.3869 376.972981 331.246241 45.726740
443.7487 380.973801 330.389501 50.584300
444.1106 385.406884 329.532761 55.874123
444.4724 390.300771 328.676022 61.624750
444.8342 395.684789 327.819282 67.865506
445.1960 401.588944 326.962543 74.626401
445.5578 408.043806 326.105803 81.938003
445.9196 415.080373 325.249064 89.831309
446.2814 422.729913 324.392324 98.337589
446.6432 431.023803 323.535584 107.488218
447.0050 439.993331 322.678845 117.314487
447.3668 449.669505 321.822105 127.847400
447.7286 460.082824 320.965366 139.117458
448.0905 471.263042 320.108626 151.154416
448.4523 483.238925 319.251887 163.987039
448.8141 496.037977 318.395147 177.642830
449.1759 509.686164 317.538407 192.147756
449.5377 524.207626 316.681668 207.525958
449.8995 539.624378 315.824928 223.799450
450.2613 555.955999 314.968189 240.987810
450.6231 573.219324 314.111449 259.107875
450.9849 591.428127 313.254709 278.173417
451.3467 610.592803 312.397970 298.194833
451.7085 630.720061 311.541230 319.178830
452.0704 651.812609 310.684491 341.128118
452.4322 673.868865 309.827751 364.041113
452.7940 696.882664 308.971012 387.911652
453.1558 720.842993 308.114272 412.728721
453.5176 745.733742 307.257532 438.476209
453.8794 771.533471 306.400793 465.132678
454.2412 798.215220 305.544053 492.671167
454.6030 825.746330 304.687314 521.059017
454.9648 854.088315 303.830574 550.257741
455.3266 883.196756 302.973835 580.222921
455.6884 913.021248 302.117095 610.904153
456.0503 943.505381 301.260355 642.245026
456.4121 974.586771 300.403616 674.183155
456.7739 1006.197132 299.546876 706.650256
457.1357 1038.262407 298.690137 739.572270
457.4975 1070.702941 297.833397 772.869544
457.8593 1103.433710 296.976658 806.457052
458.2211 1136.364595 296.119918 840.244677
458.5829 1169.400718 295.263178 874.137539
458.9447 1202.442818 294.406439 908.036379
459.3065 1235.387683 293.549699 941.837983
459.6683 1268.128622 292.692960 975.435662
460.0302 1300.555992 291.836220 1008.719772
460.3920 1332.557756 290.979480 1041.578276
460.7538 1364.020086 290.122741 1073.897345
461.1156 1394.827993 289.266001 1105.561992
461.4774 1424.865995 288.409262 1136.456734
461.8392 1454.018801 287.552522 1166.466279
462.2010 1482.172015 286.695783 1195.476233
462.5628 1509.212856 285.839043 1223.373813
462.9246 1535.030878 284.982303 1250.048574
463.2864 1559.518696 284.125564 1275.393132
463.6482 1582.572702 283.268824 1299.303877
464.0101 1604.093766 282.412085 1321.681681
464.3719 1623.987921 281.555345 1342.432576
464.7337 1642.167019 280.698606 1361.468413
465.0955 1658.549350 279.841866 1378.707484
465.4573 1673.060231 278.985126 1394.075105
