# dia2.Chn  |  '55438C76E7C84EC Easy-MCA-8k SN 13294034  |  08Jan021 0210:25
# Live: 5825 s  |  Real: 5851 s
# Cal: 0.00 + 2.9343 * canal  + 0.0 * canal^2
# Total cuentas: 4,561,494  (783.1 cps)
#canal	cuentas	energia_keV
1	3255	2.93
2	19645	5.87
3	23030	8.80
4	55181	11.74
5	72122	14.67
6	69572	17.61
7	36956	20.54
8	49446	23.47
9	85378	26.41
10	214084	29.34
11	181484	32.28
12	87726	35.21
13	95360	38.15
14	104061	41.08
15	109916	44.02
16	96238	46.95
17	90891	49.88
18	88395	52.82
19	87412	55.75
20	85135	58.69
21	79699	61.62
22	74779	64.56
23	70599	67.49
24	67008	70.42
25	63797	73.36
26	61020	76.29
27	57796	79.23
28	56471	82.16
29	54731	85.10
30	52321	88.03
31	50306	90.96
32	48620	93.90
33	47086	96.83
34	46030	99.77
35	44659	102.70
36	43734	105.64
37	42244	108.57
38	39027	111.50
39	35751	114.44
40	33051	117.37
41	31343	120.31
42	30671	123.24
43	29910	126.18
44	28533	129.11
45	27671	132.05
46	26668	134.98
47	25492	137.91
48	23758	140.85
49	23404	143.78
50	23226	146.72
51	22803	149.65
52	22246	152.59
53	21817	155.52
54	20867	158.45
55	19751	161.39
56	18818	164.32
57	17775	167.26
58	17138	170.19
59	16859	173.13
60	16743	176.06
61	16263	178.99
62	15910	181.93
63	15666	184.86
64	15264	187.80
65	15056	190.73
66	14836	193.67
67	14756	196.60
68	13842	199.54
69	13408	202.47
70	12908	205.40
71	12575	208.34
72	12767	211.27
73	13081	214.21
74	13871	217.14
75	14754	220.08
76	15194	223.01
77	15041	225.94
78	13918	228.88
79	12590	231.81
80	11053	234.75
81	10115	237.68
82	9494	240.62
83	9128	243.55
84	9173	246.48
85	9465	249.42
86	9403	252.35
87	9590	255.29
88	9738	258.22
89	9880	261.16
90	10073	264.09
91	10657	267.03
92	12021	269.96
93	14471	272.89
94	18379	275.83
95	23786	278.76
96	30014	281.70
97	35891	284.63
98	39742	287.57
99	38838	290.50
100	34761	293.43
101	28173	296.37
102	21117	299.30
103	14694	302.24
104	10443	305.17
105	7963	308.11
106	6893	311.04
107	6472	313.97
108	6352	316.91
109	6193	319.84
110	5989	322.78
111	5865	325.71
112	5984	328.65
113	5905	331.58
114	5993	334.51
115	5989	337.45
116	5969	340.38
117	6143	343.32
118	6259	346.25
119	6364	349.19
120	6766	352.12
121	7216	355.06
122	7256	357.99
123	7501	360.92
124	7501	363.86
125	7199	366.79
126	7038	369.73
127	6660	372.66
128	6499	375.60
129	6222	378.53
130	6139	381.46
131	6095	384.40
132	6083	387.33
133	6009	390.27
134	6177	393.20
135	6110	396.14
136	5841	399.07
137	5708	402.00
138	5567	404.94
139	5313	407.87
140	5183	410.81
141	4963	413.74
142	4885	416.68
143	4879	419.61
144	4814	422.55
145	4593	425.48
146	4309	428.41
147	4272	431.35
148	4131	434.28
149	4073	437.22
150	4052	440.15
151	3901	443.09
152	3933	446.02
153	3923	448.95
154	3926	451.89
155	3779	454.82
156	3719	457.76
157	3732	460.69
158	3719	463.63
159	3640	466.56
160	3823	469.49
161	3721	472.43
162	3842	475.36
163	4098	478.30
164	4400	481.23
165	4946	484.17
166	5705	487.10
167	6538	490.04
168	8118	492.97
169	9459	495.90
170	10878	498.84
171	12135	501.77
172	12667	504.71
173	12899	507.64
174	12435	510.58
175	11137	513.51
176	9444	516.44
177	8049	519.38
178	6240	522.31
179	4971	525.25
180	3755	528.18
181	3037	531.12
182	2643	534.05
183	2474	536.98
184	2526	539.92
185	2608	542.85
186	2736	545.79
187	3125	548.72
188	3721	551.66
189	4357	554.59
190	5120	557.52
191	5940	560.46
192	7031	563.39
193	8097	566.33
194	9052	569.26
195	9552	572.20
196	9847	575.13
197	9926	578.07
198	9260	581.00
199	8271	583.93
200	6813	586.87
201	5638	589.80
202	4495	592.74
203	3572	595.67
204	2725	598.61
205	2092	601.54
206	1927	604.47
207	1784	607.41
208	1875	610.34
209	2120	613.28
210	2375	616.21
211	2635	619.15
212	3010	622.08
213	3287	625.01
214	3539	627.95
215	3446	630.88
216	3620	633.82
217	3262	636.75
218	3052	639.69
219	2710	642.62
220	2412	645.56
221	1916	648.49
222	1652	651.42
223	1243	654.36
224	1095	657.29
225	905	660.23
226	724	663.16
227	641	666.10
228	626	669.03
229	576	671.96
230	580	674.90
231	576	677.83
232	574	680.77
233	541	683.70
234	596	686.64
235	559	689.57
236	574	692.50
237	536	695.44
238	522	698.37
239	526	701.31
240	527	704.24
241	512	707.18
242	462	710.11
243	481	713.05
244	454	715.98
245	152	718.91
246	3	721.85
247	2	724.78
248	0	727.72
249	0	730.65
250	0	733.59
251	0	736.52
252	0	739.45
253	0	742.39
254	0	745.32
255	0	748.26
256	0	751.19
