Energ(keV)	Reaction                                                Counts/s·10e-6
46,539		210Pb                                                        68(22)  	
53,225		234U, 214Pb                                                 226(35) 	
66,200		n,f                                                          40(20)  	
74,816		212Pb, 214Pb, 211Pb, 235U                                   177(32) 	
77,105		214Bi, 219Rn, 212Pb, 214Pb                                  113(32) 		
84,343		231Th, 228Th                                                188(35) 	
114,673		7Be, 228Ac, 238U                                             41(23)  	
186,211		226Ra                                                       222(46) 	
238,632		212Pb                                                        74(32)  	
295,224		214Pb                                                       144(40) 	
351,932		214Pb                                                       213(31) 	
609,312		214Bi                                                       190(26) 		
1460,820	40K                                                         843(30)	
1764,520	214Bi                                                        96(16)  	
