x	y_net	gaussian_fit	difference
1	-0.282639	0.000501	-0.283140
2	1.070267	0.002634	1.067633
3	-0.576828	0.012167	-0.588995
4	-1.223923	0.049343	-1.273266
5	-0.871017	0.175678	-1.046695
6	-1.518112	0.549104	-2.067216
7	-2.165215	1.506747	-3.671962
8	-0.812309	3.629730	-4.442039
9	6.540596	7.676387	-1.135791
10	16.893501	14.252398	2.641103
11	25.246407	23.230978	2.015429
12	34.599312	33.242643	1.356669
13	43.952217	41.761115	2.191102
14	48.305122	46.057157	2.247965
15	46.658028	44.593407	2.064621
16	39.010933	37.904666	1.106267
17	26.363838	28.285456	-1.921618
18	19.716736	18.530289	1.186447
19	9.069645	10.657362	-1.587717
20	4.422550	5.381033	-0.958483
21	2.775452	2.385230	0.390222
22	0.128357	0.928203	-0.799846
23	0.481262	0.317106	0.164156
24	-0.165833	0.095107	-0.260940
25	-1.812927	0.025042	-1.837969
26	-0.460022	0.005789	-0.465811
27	-1.107117	0.001175	-1.108292
